"X1","X2","ytrain"
"1",0.65792815733234,0.297884335590171,2
"2",0.274445397987765,0.0187446119974464,1
"3",0.310683066394534,0.0241505204207327,1
"4",0.269207838409859,-0.430298803517511,2
"5",-0.611741745481824,0.707327222722182,2
"6",0.411078943657551,0.0206714216723593,1
"7",0.376889480047236,0.0479056611767788,1
"8",0.309462551004629,0.0742507912642902,1
"9",0.221833672686419,0.75384779149975,2
"10",-0.898481310431089,0.225398290467706,2
"11",0.0731658055981685,-0.475237929108696,2
"12",0.372964698573849,0.088671376426177,1
"13",0.319652793119363,0.107966245029732,1
"14",-0.235969390353485,-0.487037182401691,2
"15",0.344843190968116,0.127519706117819,1
"16",0.610853468757699,0.0558196577004315,2
"17",-0.370663266478051,0.859644876567177,2
"18",0.338966757801767,0.146256912902416,1
"19",0.297905489868541,0.158438793469582,1
"20",0.312293181976373,-0.464912495894973,2
"21",0.16424968682077,0.834888593277005,2
"22",0.328564634741043,0.183819979080823,1
"23",0.350284003406869,0.210824448125456,1
"24",0.0665650917283261,0.794273730560922,2
"25",0.319907640780191,0.222790883831759,1
"26",0.366003528402759,0.26413595986621,1
"27",-0.205610080569287,-0.342342121515381,2
"28",-0.192177856688305,-0.524267144776959,2
"29",0.28427257627008,0.25107433086422,1
"30",0.310143646066807,0.287804698491165,1
"31",0.31512431368258,0.316928376657653,1
"32",-0.948840281975216,0.0429419848906171,2
"33",0.555947165209795,0.146241193515138,2
"34",-0.486256940597512,0.673344626047658,2
"35",-0.304677610595651,-0.310436278068,2
"36",0.264006784191747,0.309763103898871,1
"37",0.23444783624047,-0.501303833471462,2
"38",0.257116785741899,0.331221155131046,1
"39",0.234018411123386,0.340027580192617,1
"40",0.206740799717932,0.343435659260174,1
"41",0.184779051624227,0.350262888189725,1
"42",0.616447165672346,0.322585776970507,2
"43",0.0365112180723385,0.860304490780918,2
"44",0.225984551894667,0.431436313182989,1
"45",0.128563653399904,0.343771009779719,1
"46",0.142007624864096,0.397591774609848,1
"47",0.527681884400817,-0.35009395391816,2
"48",0.531736944509204,-0.271474288141051,2
"49",-0.306855098213362,-0.33966631041275,2
"50",0.183516277676843,0.509742542638317,1
"51",-0.0953433257524977,0.844856662012748,2
"52",-0.371960619320655,-0.171991913184265,2
"53",0.0962674135349337,0.404711744382306,1
"54",0.0921704702786589,0.446920188841766,1
"55",-0.304371906367677,0.788878035573846,2
