"X1","X2","ytest"
"1",-0.0165983666590773,0.781178816026696,2
"2",0.399024122394097,0.732667961350667,2
"3",0.720354405561881,-0.547867199345911,1
"4",0.610767632198096,-0.137751674945051,2
"5",0.750399384742401,-0.513189586107551,1
"6",0.346109974719197,-0.407023972455595,2
"7",0.400042941702274,0.607402080230098,2
"8",-0.425747098720375,0.744535518955999,2
"9",-0.653058542765744,0.683251912085438,2
"10",-0.169398716497918,-0.363732177129478,2
"11",0.799454882202072,-0.493097883841406,1
"12",0.768880336190631,-0.413255879241075,1
"13",0.792783157908336,-0.376054080057442,1
"14",-0.34481306880118,-0.187707521514616,2
"15",0.682366893600769,0.191584693467245,2
"16",0.898727296183002,-0.384667024177534,1
"17",-0.841100700780265,0.352243261179735,2
"18",-0.75227332621072,0.578630801346618,2
"19",0.957225837258781,-0.358410615009888,1
"20",0.29646561694984,0.812857514957354,2
"21",0.0499269402800734,-0.463438517251901,2
"22",-0.40503131149588,-0.0218888442072316,2
"23",0.919723644425937,-0.285539177270095,1
"24",0.943183414160736,-0.242219640724096,1
"25",1.04721377945356,-0.223630531425009,1
"26",0.966453557456681,-0.146137048494962,1
"27",1.04440649392193,-0.111929218420007,1
"28",0.937071038656392,-0.0410844800061815,1
"29",-0.274972881022424,-0.246590146889235,2
"30",-0.897925163918788,0.328909433561618,2
